Text,Sentiment
                     is so sad for my APL friend.............,neg
                   I loved the New Moon trailer...,pos
              omg its already 7:3neg :O,pos
          .. Omgaga. Im sooo  im gunna CRy.,pos
         or i just worry too much?        ,neg
       Sunny Again        Work Tomorrow  :-|       TV Tonight,neg
      handed in my uniform today . i miss you already,pos
      hmmmm.... i wonder how she my number @-),pos
      I must think about positive..,neg
      thanks to all the haters up in my face all day! pospos2-posneg2,pos
      this weekend has sucked so far,neg
     jb isnt showing in australia any more!,neg
     ok thats it you win.,neg
    &lt;-------- This is the way i feel right now...,neg
"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX",neg
    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate,pos
    HUGE roll of thunder just now...SO scary!!!!,neg
    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.,neg
    Very sad about Iran.,neg
    wompppp wompp,neg
    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome,pos
   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*,neg
   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,neg
   BoRinG   ): whats wrong with him??     Please tell me........   :-/,neg
   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.,neg
"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. ",neg
"   goodbye exams, HELLO ALCOHOL TONIGHT ",pos
   I didn't realize it was THAT deep. Geez give a girl a warning atleast!,neg
   I hate it when any athlete appears to tear an ACL on live television.,neg
   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,neg
  -- Meet your Meat http://bit.ly/pos5SSCI,neg
   My horsie is moving on Saturday morning.,neg
   No Sat off...Need to work 6 days a week ,neg
   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay,neg
"   SOX!     Floyd was great, but relievers need a scolding!",neg
   times by like a million,neg
   uploading pictures on friendster ,pos
   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(,neg
  &amp;&amp;Fightiin Wiit The Babes...,neg
  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn2posw6o7,pos
  *enough said*,neg
"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    ",pos
  ... health class (what a joke!),pos
  @ginaaa &lt;3 GO TO THE   SHOW TONIGHT,pos
  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now,neg
 - All Time Low shall be my motivation for the rest of the week.,neg
